MeV	mm	%	MeV/cm
2.5	0.11108	0	131.65
2.75	0.13073	0	122.63
3	0.15176	0.008	114.88
3.5	0.19789	0.0127	102.25
4	0.24932	0.0184	92.345
4.5	0.30592	0.0251	84.354
5	0.3676	0.0329	77.754
5.5	0.43425	0.0421	72.201
6	0.5058	0.0527	67.454
6.5	0.58219	0.0646	63.345
7	0.66335	0.0774	59.749
7.5	0.74926	0.0913	56.528
8	0.83986	0.1063	53.716
8.5	0.93507	0.1223	51.195
9	1.0348	0.1394	48.92
9.5	1.1391	0.1574	46.857
10	1.2479	0.1763	44.977
12.5	1.8575	0.2812	37.607
15	2.5739	0.4033	32.467
17.5	3.3939	0.5418	28.663
20	4.3147	0.6975	25.726
22.5	5.3336	0.8698	23.386
25	6.4487	1.059	21.474
27.5	7.6579	1.261	19.881
30	8.9593	1.475	18.531
35	11.833	1.933	16.367
40	15.057	2.425	14.704
45	18.62	2.945	13.384
50	22.515	3.487	12.389
55	26.73	4.05	11.416
60	31.259	4.636	10.662
65	36.093	5.241	10.017
70	41.226	5.86	9.4573
75	46.65	6.492	8.9678
80	52.36	7.136	8.5356
85	58.348	7.795	8.1511
90	64.61	8.465	7.8068
95	71.138	9.145	7.4966
100	77.929	9.833	7.2157
125	115.64	13.29	6.1316
150	159.19	16.63	5.3933
175	208.07	19.92	4.8577
200	261.85	23.6	4.4514
225	320.13	26.75	4.1328
250	382.57	30.22	3.8764
275	448.86	33.69	3.6658
300	513.71	37.11	3.4898
350	668.12	43.88	3.2131
400	829.02	50.49	3.0061
